City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Souillac,MU,71.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
173,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
174,Bonthe,SL,82.94,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
175,Takoradi,GH,80.47,overcast clouds,4.8845,-1.7554,Raybow International Hotel
176,Eureka,US,61.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
178,Bandarbeyla,SO,76.01,clear sky,9.4942,50.8122,JABIR HOTEL
179,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
180,Calvinia,ZA,62.6,scattered clouds,-31.4707,19.776,Die Lemoenhuis
181,San Vicente,AR,79.18,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
183,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
184,Kieta,PG,78.12,light rain,-6.2167,155.6333,Uruna Bay Retreat
186,Rocha,UY,72.66,clear sky,-34.4833,-54.3333,Beleza Pura B&B
187,Antofagasta,CL,58.28,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
188,Dingle,PH,76.82,few clouds,10.9995,122.6711,SEGAYA PROPERTY
189,Abha,SA,71.42,scattered clouds,18.2164,42.5053,Abha Hotel
190,Eyrarbakki,IS,60.21,overcast clouds,63.863,-21.1481,Guesthouse 77
192,Nuzvid,IN,81.45,overcast clouds,16.7833,80.85,HI-TECH LODGE
194,Cidreira,BR,68.2,few clouds,-30.1811,-50.2056,Hotel Castelo
195,Katobu,ID,73.58,overcast clouds,-4.9408,122.5276,La Ode Husein
196,Thompson,CA,66.36,smoke,55.7435,-97.8558,Burntwood Hotel
197,Plettenberg Bay,ZA,59.25,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
198,Vestmannaeyjar,IS,56.39,broken clouds,63.4427,-20.2734,Glamping & Camping
199,Constitucion,CL,56.03,light rain,-35.3333,-72.4167,Hotel Boutique Las Azucenas
203,Lazaro Cardenas,MX,83.52,overcast clouds,17.9583,-102.2,quinta antigua
204,Kabelvag,NO,73.62,clear sky,68.2114,14.4817,Nyvågar Rorbuhotel
205,Macroom,IE,62.67,broken clouds,51.9,-8.95,Castle Hotel
206,Lubango,AO,80.46,clear sky,-14.9172,13.4925,Hotel Serra da Chela
207,Isangel,VU,68.11,few clouds,-19.55,169.2667,Tanna Lodge
208,Cao Bang,VN,81.55,overcast clouds,22.6667,106.25,khách sạn 88
209,Batticaloa,LK,81.64,overcast clouds,7.7102,81.6924,Grand Star Guest House
211,Camacha,PT,74.53,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
212,Qaqortoq,GL,54.1,light rain,60.7167,-46.0333,Hotel Qaqortoq
213,Saldanha,ZA,62.65,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
216,Alta,NO,72.64,clear sky,69.9689,23.2717,Scandic Alta
217,Lompoc,US,67.93,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
218,San Ignacio,BZ,80.74,clear sky,17.1561,-89.0714,Rainforest Haven Inn
219,Sebeta,ET,62.64,moderate rain,8.9167,38.6167,Alem Hotel And Milto Cinema
220,Abasha,GE,80.82,overcast clouds,42.2096,42.2211,глстиница
221,Sao Joao Da Barra,BR,73.49,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
222,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
223,Taonan,CN,70.77,clear sky,45.3333,122.7833,Makro Hotel
224,Strezhevoy,RU,66.18,overcast clouds,60.7333,77.5889,Sibiryachka
225,Dongsheng,CN,76.78,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
226,Mitsamiouli,KM,76.75,light rain,-11.3847,43.2844,Foyer ADM
227,Labuan,MY,84.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
228,Quelimane,MZ,75.15,smoke,-17.8786,36.8883,Hotel Flamingo
229,Mildura,AU,53.56,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
230,Saint-Francois,FR,71.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
