City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,New Norfolk,AU,2021-08-06 21:38:38,-42.7826,147.0587,51.71,69,100,5.99
143,Ambilobe,MG,2021-08-06 21:38:38,-13.2,49.05,65.19,87,3,3.42
144,Zalantun,CN,2021-08-06 21:38:38,48.0,122.7167,63.05,81,10,5.39
145,Kruisfontein,ZA,2021-08-06 21:38:39,-34.0033,24.7314,49.89,92,8,3.6
146,Puksoozero,RU,2021-08-06 21:38:39,62.5903,40.6066,47.75,80,32,5.61
147,Bintulu,MY,2021-08-06 21:38:40,3.1667,113.0333,77.41,100,40,3.44
148,Tuktoyaktuk,CA,2021-08-06 21:38:40,69.4541,-133.0374,41.0,93,90,16.11
149,Kihurio,TZ,2021-08-06 21:38:40,-4.4667,38.0667,65.82,87,1,2.48
150,Vanimo,PG,2021-08-06 21:38:40,-2.6741,141.3028,75.72,91,98,6.96
151,Bambous Virieux,MU,2021-08-06 21:38:41,-20.3428,57.7575,70.05,68,75,14.97
152,Vestmannaeyjar,IS,2021-08-06 21:38:41,63.4427,-20.2734,54.59,87,75,5.75
153,Cabo San Lucas,MX,2021-08-06 21:35:38,22.8909,-109.9124,89.62,69,75,8.01
154,Moose Factory,CA,2021-08-06 21:38:41,51.2585,-80.6094,51.8,76,90,8.05
155,Langenburg,DE,2021-08-06 21:38:42,49.2544,9.8458,61.95,85,20,1.14
156,Vila Velha,BR,2021-08-06 21:38:42,-20.3297,-40.2925,74.97,60,20,8.05
157,Arraial Do Cabo,BR,2021-08-06 21:34:14,-22.9661,-42.0278,67.86,77,40,6.91
158,Butaritari,KI,2021-08-06 21:38:43,3.0707,172.7902,83.71,64,1,11.43
159,Goderich,CA,2021-08-06 21:38:43,43.7501,-81.7165,81.91,61,71,8.05
160,Saint-Philippe,RE,2021-08-06 21:38:43,-21.3585,55.7679,65.75,76,73,12.62
161,Hobyo,SO,2021-08-06 21:38:44,5.3505,48.5268,75.61,79,99,29.21
162,Namibe,AO,2021-08-06 21:38:44,-15.1961,12.1522,67.41,89,35,0.87
163,Beaverlodge,CA,2021-08-06 21:38:45,55.2166,-119.4361,67.35,26,93,22.39
164,Hegang,CN,2021-08-06 21:38:45,47.4,130.3667,68.56,79,100,1.52
165,Ribeira Grande,PT,2021-08-06 21:38:46,38.5167,-28.7,70.43,68,69,17.18
166,Ixtapa,MX,2021-08-06 21:34:14,20.7,-105.2,87.22,74,75,6.91
167,Bengkulu,ID,2021-08-06 21:38:47,-3.8004,102.2655,75.34,91,86,3.8
168,Alice,US,2021-08-06 21:38:47,27.7523,-98.0697,89.55,70,1,11.5
169,Makakilo City,US,2021-08-06 21:38:48,21.3469,-158.0858,84.56,53,1,17.27
170,Camopi,GF,2021-08-06 21:38:48,3.1655,-52.3158,73.26,97,53,1.77
171,Jaciara,BR,2021-08-06 21:38:48,-15.9653,-54.9683,79.32,29,100,1.88
172,Nanakuli,US,2021-08-06 21:38:49,21.3906,-158.1547,85.98,54,1,17.27
