City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Leningradskiy,RU,69.3833,178.4167,37.47,91,100,8.68,overcast clouds
155,Suez,EG,29.9737,32.5263,98.15,30,0,15.14,clear sky
156,Tigil,RU,57.8,158.6667,44.38,85,100,3.38,overcast clouds
157,Margate,GB,51.3813,1.3862,65.75,69,68,22.93,broken clouds
158,Madimba,TZ,-10.4,40.3333,73.87,74,44,9.57,scattered clouds
159,Abu Samrah,SY,35.3029,37.1841,92.17,20,0,15.9,clear sky
160,Hopkinsville,US,36.8656,-87.4886,83.32,64,8,5.06,clear sky
161,Eirunepe,BR,-6.6603,-69.8736,95.2,26,0,2.73,clear sky
162,Ewa Beach,US,21.3156,-158.0072,76.95,68,1,4.61,clear sky
163,Ardino,BG,41.5833,25.1333,86.43,29,0,7.58,clear sky
164,Corowa,AU,-36.0333,146.3833,44.29,93,2,4.72,clear sky
165,Qaanaaq,GL,77.484,-69.3632,41.83,72,91,5.73,overcast clouds
166,Saint-Philippe,RE,-21.3585,55.7679,69.39,76,57,13.71,broken clouds
167,Port Elizabeth,ZA,-33.918,25.5701,62.1,88,0,9.22,clear sky
168,Deputatskiy,RU,69.3,139.9,43.86,82,26,2.44,scattered clouds
169,San Francisco Del Mar,MX,16.2333,-94.65,77.95,86,100,8.21,overcast clouds
170,Pangnirtung,CA,66.1451,-65.7125,44.6,81,75,11.5,broken clouds
171,Souillac,MU,-20.5167,57.5167,71.37,68,40,5.75,scattered clouds
172,Yeppoon,AU,-23.1333,150.7333,49.78,87,0,4.76,clear sky
173,Pitimbu,BR,-7.4706,-34.8086,84.79,69,95,20.42,overcast clouds
174,Bonthe,SL,7.5264,-12.505,82.94,59,97,10.11,overcast clouds
175,Takoradi,GH,4.8845,-1.7554,80.47,70,85,15.68,overcast clouds
176,Eureka,US,40.8021,-124.1637,61.2,94,73,6.02,broken clouds
177,Constantine,DZ,36.365,6.6147,107.01,16,0,12.66,clear sky
178,Bandarbeyla,SO,9.4942,50.8122,76.01,82,6,29.28,clear sky
179,Cap Malheureux,MU,-19.9842,57.6142,71.47,70,1,5.99,clear sky
180,Calvinia,ZA,-31.4707,19.776,62.6,21,31,4.9,scattered clouds
181,San Vicente,AR,-26.6167,-54.1333,79.18,33,0,7.2,clear sky
182,Chokurdakh,RU,70.6333,147.9167,46.33,78,7,7.43,clear sky
183,Praia,CV,14.9215,-23.5087,82.94,69,20,13.8,few clouds
184,Kieta,PG,-6.2167,155.6333,78.12,85,86,7.11,light rain
185,Ippy,CF,6.2679,21.2247,67.8,97,100,3.09,overcast clouds
186,Rocha,UY,-34.4833,-54.3333,72.66,61,7,11.48,clear sky
187,Antofagasta,CL,-23.65,-70.4,58.28,63,12,7.76,few clouds
188,Dingle,PH,10.9995,122.6711,76.82,88,18,2.59,few clouds
189,Abha,SA,18.2164,42.5053,71.42,49,40,8.05,scattered clouds
190,Eyrarbakki,IS,63.863,-21.1481,60.21,78,100,6.8,overcast clouds
191,Dunedin,NZ,-45.8742,170.5036,40.8,71,100,1.01,overcast clouds
192,Nuzvid,IN,16.7833,80.85,81.45,65,87,2.35,overcast clouds
193,Sao Felix Do Xingu,BR,-6.6447,-51.995,97.52,20,4,5.03,clear sky
194,Cidreira,BR,-30.1811,-50.2056,68.2,70,13,11.68,few clouds
195,Katobu,ID,-4.9408,122.5276,73.58,88,100,4.41,overcast clouds
196,Thompson,CA,55.7435,-97.8558,66.36,63,40,6.91,smoke
197,Plettenberg Bay,ZA,-34.0527,23.3716,59.25,83,94,6.78,overcast clouds
198,Vestmannaeyjar,IS,63.4427,-20.2734,56.39,82,75,9.22,broken clouds
199,Constitucion,CL,-35.3333,-72.4167,56.03,66,66,10.69,light rain
200,Ilulissat,GL,69.2167,-51.1,48.22,61,75,3.44,broken clouds
201,Coahuayana,MX,18.7333,-103.6833,87.53,61,69,0.58,broken clouds
202,Champoton,MX,19.35,-90.7167,88.84,56,19,6.78,few clouds
203,Lazaro Cardenas,MX,17.9583,-102.2,83.52,71,92,3.04,overcast clouds
204,Kabelvag,NO,68.2114,14.4817,73.62,46,0,2.3,clear sky
205,Macroom,IE,51.9,-8.95,62.67,78,64,18.12,broken clouds
206,Lubango,AO,-14.9172,13.4925,80.46,6,0,11.5,clear sky
207,Isangel,VU,-19.55,169.2667,68.11,77,20,4.61,few clouds
208,Cao Bang,VN,22.6667,106.25,81.55,91,100,0.69,overcast clouds
209,Batticaloa,LK,7.7102,81.6924,81.64,77,100,8.39,overcast clouds
210,Baykit,RU,61.67,96.37,58.89,64,18,3.91,few clouds
211,Camacha,PT,33.0833,-16.3333,74.53,73,40,16.11,scattered clouds
212,Qaqortoq,GL,60.7167,-46.0333,54.1,84,100,0.49,light rain
213,Saldanha,ZA,-33.0117,17.9442,62.65,70,100,5.68,overcast clouds
214,Sur,OM,22.5667,59.5289,92.3,52,98,10.0,overcast clouds
215,Beringovskiy,RU,63.05,179.3167,43.93,91,100,25.32,light rain
216,Alta,NO,69.9689,23.2717,72.64,65,0,3.44,clear sky
217,Lompoc,US,34.6391,-120.4579,67.93,86,40,3.44,scattered clouds
218,San Ignacio,BZ,17.1561,-89.0714,80.74,78,0,6.91,clear sky
219,Sebeta,ET,8.9167,38.6167,62.64,82,99,1.57,moderate rain
220,Abasha,GE,42.2096,42.2211,80.82,70,98,7.99,overcast clouds
221,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,60,99,12.44,moderate rain
222,Nouadhibou,MR,20.931,-17.0347,76.98,73,0,10.36,clear sky
223,Taonan,CN,45.3333,122.7833,70.77,71,6,1.5,clear sky
224,Strezhevoy,RU,60.7333,77.5889,66.18,68,95,2.15,overcast clouds
225,Dongsheng,CN,39.8161,109.9776,76.78,33,100,13.18,overcast clouds
226,Mitsamiouli,KM,-11.3847,43.2844,76.75,68,64,5.64,light rain
227,Labuan,MY,5.2767,115.2417,84.36,94,20,0.0,few clouds
228,Quelimane,MZ,-17.8786,36.8883,75.15,73,40,10.36,smoke
229,Mildura,AU,-34.2,142.15,53.56,82,90,1.14,overcast clouds
230,Saint-Francois,FR,46.4154,3.9054,71.04,49,0,13.8,clear sky
231,Navahrudak,BY,53.6,25.8333,64.47,80,78,8.97,broken clouds
232,Bhinmal,IN,25.0,72.25,89.58,50,52,7.31,broken clouds
233,Gravdal,NO,68.1214,13.5031,73.29,43,0,3.44,clear sky
234,Bonavista,CA,48.6499,-53.1147,75.2,74,100,17.67,overcast clouds
235,Goundam,ML,16.4145,-3.6708,95.18,39,32,17.83,scattered clouds
236,Aksu,CN,41.1231,80.2644,80.35,31,23,5.7,light rain
237,Belaya Gora,RU,68.5333,146.4167,48.81,87,21,6.62,few clouds
238,Nome,US,64.5011,-165.4064,46.47,87,90,11.5,overcast clouds
239,Santa Rosa,PH,14.3122,121.1114,84.11,83,98,8.37,overcast clouds
240,Airai,TL,-8.9266,125.4092,53.47,80,27,2.82,scattered clouds
241,Iskateley,RU,67.6803,53.1512,51.93,71,100,8.77,overcast clouds
242,Korla,CN,41.7597,86.1469,82.74,29,5,5.46,clear sky
243,Palafrugell,ES,41.9174,3.1631,81.36,71,94,1.99,overcast clouds
244,Aklavik,CA,68.2191,-135.0107,43.52,93,90,8.05,mist
245,Canon City,US,38.441,-105.2424,82.27,35,1,6.91,clear sky
246,Pisco,PE,-13.7,-76.2167,62.65,72,90,6.91,overcast clouds
247,Shizunai,JP,42.3339,142.3669,72.81,91,17,9.37,few clouds
248,Thinadhoo,MV,0.5333,72.9333,81.39,73,100,10.25,heavy intensity rain
249,Mehamn,NO,71.0357,27.8492,62.55,63,0,4.61,clear sky
250,Simpang,ID,-1.2667,104.0833,76.48,92,57,1.66,broken clouds
251,Kutum,SD,14.2,24.6667,82.09,45,99,11.9,overcast clouds
252,Gushikawa,JP,26.3544,127.8686,83.79,91,75,31.07,mist
253,Misratah,LY,32.3754,15.0925,86.77,60,0,16.55,clear sky
254,Trinidad,BO,-14.8333,-64.9,85.98,48,1,4.61,clear sky
255,Wanaka,NZ,-44.7,169.15,36.1,96,100,1.01,overcast clouds
256,Moose Jaw,CA,50.4001,-105.5344,70.16,60,97,9.22,overcast clouds
257,Sitka,US,57.0531,-135.33,57.09,94,90,0.0,mist
258,Hamilton,US,39.1834,-84.5333,83.91,68,1,3.0,clear sky
259,Suluq,LY,31.6682,20.2521,92.26,29,0,20.33,clear sky
260,Batemans Bay,AU,-35.7167,150.1833,46.9,90,39,4.16,scattered clouds
